time_s,node_type,node_id,channel_type,sat_id,beam_id,c_n_db,fspl_db,atm_loss_db,rx_power_dbw,sinr_db,rx_bytes
5.000000,UT,2,FORWARD_USER_CH,20,62,14.428267,182.879511,0.000000,-108.965208,14.428267,0
5.000000,UT,3,FORWARD_USER_CH,20,62,14.428267,182.879511,0.000000,-108.965208,14.428267,0
5.000000,UT,4,FORWARD_USER_CH,20,62,14.428267,182.879511,0.000000,-108.965208,14.428267,0
5.000000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
5.000000,GW,2,RETURN_FEEDER_CH,20,2,9.731656,181.928802,0.000000,-113.390738,9.731656,0
5.000000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
5.500000,UT,1,FORWARD_USER_CH,20,62,14.423766,182.868445,0.000000,-108.970174,14.423766,120
5.500000,UT,2,FORWARD_USER_CH,20,62,14.423766,182.868445,0.000000,-108.970174,14.423766,120
5.500000,UT,3,FORWARD_USER_CH,20,62,14.423766,182.868445,0.000000,-108.970174,14.423766,120
5.500000,UT,4,FORWARD_USER_CH,20,62,14.423766,182.868445,0.000000,-108.970174,14.423766,90
5.500000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
5.500000,GW,2,RETURN_FEEDER_CH,20,2,9.723446,181.917736,0.000000,-113.399466,9.723446,30
5.500000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
6.000000,UT,1,FORWARD_USER_CH,20,62,14.419127,182.857381,0.000000,-108.975294,14.419127,270
6.000000,UT,2,FORWARD_USER_CH,20,62,14.419127,182.857381,0.000000,-108.975294,14.419127,270
6.000000,UT,3,FORWARD_USER_CH,20,62,14.419127,182.857381,0.000000,-108.975294,14.419127,270
6.000000,UT,4,FORWARD_USER_CH,20,62,14.419127,182.857381,0.000000,-108.975294,14.419127,240
6.000000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
6.000000,GW,2,RETURN_FEEDER_CH,20,2,9.718629,181.906673,0.000000,-113.404586,9.718629,300
6.000000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
6.500000,UT,1,FORWARD_USER_CH,20,62,14.414075,182.846320,0.000000,-108.980868,14.414075,420
6.500000,UT,2,FORWARD_USER_CH,20,62,14.414075,182.846320,0.000000,-108.980868,14.414075,420
6.500000,UT,3,FORWARD_USER_CH,20,62,14.414075,182.846320,0.000000,-108.980868,14.414075,420
6.500000,UT,4,FORWARD_USER_CH,20,62,14.414075,182.846320,0.000000,-108.980868,14.414075,390
6.500000,GW,1,NA,-1,-1,nan,nan,nan,nan,nan,0
6.500000,GW,2,RETURN_FEEDER_CH,20,2,9.713385,181.895612,0.000000,-113.410159,9.713385,840
6.500000,GW,3,NA,-1,-1,nan,nan,nan,nan,nan,0
